OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days in Jail,LAPD_Arrests,LASD_Cost,LASD_Days in Jail,LASD_Arrests,2010 Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,Shape__Area,Shape__Length
116,Lomita,113541,494,240,2446420,15797,1100,20795,2559961,123.104640538591,16291,0.783409473431113,1340,0.0644385669632123,SPA 8 - South Bay,District 4,53447955.9570313,44721.2706973275
117,Long Beach,2085798,9075,4101,23938400,158306,9234,465275,26024198,55.932938584708,167381,0.359746386545591,13335,0.028660469614744,SPA 8 - South Bay,District 4,1452474561.02441,470493.835217218
118,Lopez/Kagel Canyons,23903,104,43,129269,896,33,533,153172,287.377110694184,1000,1.87617260787993,76,0.142589118198874,SPA 3 - San Gabriel,District 5,99649072.9267578,77786.925546349
119,Los Feliz,607237,2642,1333,272892,1737,133,32639,880129,26.965562670425,4379,0.134164649652257,1466,0.0449155917767088,SPA 4 - Metro,District 5,72705599.8857422,36266.5465305419
120,Lynwood,445660,1939,879,16614800,111077,5916,68736,17060460,248.202688547486,113016,1.64420391061453,6795,0.0988564944134078,SPA 6 - South,District 4,136610457.011719,72720.9502999591
121,Malibu,32637,142,85,673278,3998,446,8179,705915,86.3082283897787,4140,0.506174348942414,531,0.0649223621469617,SPA 5 - West,District 3,554398969.360352,251713.11753857
122,Manhattan Beach,41831,182,100,110499,642,79,35135,152330,4.3355628290878,824,0.0234523978938381,179,0.00509463497936531,SPA 8 - South Bay,District 2,110697138.682617,48153.9577743419
123,Marina del Rey,59758,260,166,238702,1508,121,8866,298460,33.6634333408527,1768,0.19941348973607,287,0.0323708549515001,SPA 5 - West,District 2,40556699.2304688,26015.4349826091
124,Mar Vista,543572,2365,1201,314985,2094,117,34925,858557,24.5828775948461,4459,0.127673586256263,1318,0.0377380100214746,SPA 5 - West,District 3,80715027.4462891,40858.239520663
125,Mayflower Village,18847,82,44,2427170,16481,760,12014,2446017,203.597219910105,16563,1.37864158481771,804,0.0669219244215082,SPA 3 - San Gabriel,District 5,33882822.2998047,49389.7162705578
126,Maywood,102968,448,222,3945110,26157,1494,27395,4048078,147.767037780617,26605,0.971162620916226,1716,0.0626391677313378,SPA 7 - East,District 4,33121433.0371094,30178.7569780592
127,Mid-Wilshire,1076800,4685,2248,619404,3874,330,44783,1696204,37.8760690440569,8559,0.19112163097604,2578,0.0575664872831208,SPA 4 - Metro,District 2,77534525.2275391,41002.0697277295
128,Mission Hills,776170,3377,1558,553536,3796,158,19630,1329706,67.7384615384615,7173,0.36541008660214,1716,0.0874172185430464,SPA 2 - San Fernando,District 3,88862313.546875,44053.3799697861
129,Monrovia,83202,362,180,1357850,8618,672,37254,1441052,38.6818059805658,8980,0.241047941160681,852,0.0228700273796102,SPA 3 - San Gabriel,District 5,388344967.227539,157769.153329719
130,Montebello,295115,1284,614,5331730,34524,2358,62381,5626845,90.2012632051426,35808,0.574020935861881,2972,0.0476427117231208,SPA 7 - East,District 1,235692305.432617,102883.465620912
131,La Canada Flintridge,26202,114,70,45248,193,61,19380,71450,3.68679050567595,307,0.0158410732714138,131,0.00675954592363261,SPA 2 - San Fernando,District 5,239882521.699219,92448.8704497413
132,Montecito Heights,500362,2177,961,408496,2715,152,20028,908858,45.379368883563,4892,0.244258038745756,1113,0.0555721989215099,SPA 4 - Metro,District 1,67177011.0458984,51532.9850139327
133,Monterey Park,163186,710,385,1313510,8205,704,60678,1476696,24.336596460002,8915,0.146923102277597,1089,0.0179471966775438,SPA 3 - San Gabriel,District 1,213573181.44043,81562.2850875822
134,Mount Washington,277647,1208,551,88429,507,66,15198,366076,24.087116725885,1715,0.112843795236215,617,0.0405974470325043,SPA 4 - Metro,District 1,51586289.3144531,33112.5101072622
135,Northeast Antelope Valley,59758,260,108,3762080,26338,853,20762,3821838,184.07850881418,26598,1.28109045371352,961,0.0462864849243811,SPA 1 - Antelope Valley,District 5,12321571006.4395,719736.46362701
136,North El Monte,12871,56,22,348157,2408,91,3151,361028,114.575690257061,2464,0.781973976515392,113,0.0358616312281815,SPA 3 - San Gabriel,District 5,11897671.6601563,16516.3751996349
137,North Hills,2773249,12066,5592,719713,4561,359,56375,3492962,61.9594146341463,16627,0.294935698447894,5951,0.105560975609756,SPA 2 - San Fernando,District 3,147981805.09082,58066.6620184261
138,North Hollywood,4033232,17548,8400,912852,5898,409,76581,4946084,64.5863073086013,23446,0.306159491257623,8809,0.115028531881276,SPA 2 - San Fernando,District 5,163621511.976563,58941.4194101467
139,Northridge,1667489,7255,3636,595558,3789,291,61310,2263047,36.9115478714728,11044,0.180133746534008,3927,0.0640515413472517,SPA 2 - San Fernando,District 3,263938344.923828,67856.7792751796
140,Northwest Antelope Valley,9653,42,18,1117880,7720,297,7037,1127533,160.229216995879,7762,1.10302685803609,315,0.0447633934915447,SPA 1 - Antelope Valley,District 5,5962030414.2373,612558.942037764
141,Northwest Palmdale,4597,20,14,715549,4893,210,5223,720146,137.879762588551,4913,0.940647137660348,224,0.0428872295615547,SPA 1 - Antelope Valley,District 5,161285691.573242,66981.7524538928
